au_id	au_name
au1	ACKER, M
au2	ARCHER, RL
au3	BAZZINI, D
au4	BEGOVIC, E
au5	BERNSTEIN, WM
au6	BUYSSE, A
au7	CAPOBIANCO, S
au8	CHAMBERS, JR
au9	CHEN, HD
au10	CHURCH, M
au11	COLE, J
au12	CONKLIN, L
au13	CONNELLY, M
au14	DAVIS, MH
au15	DE CORTE, K
au16	DEVOLDRE, I
au17	DIAZLOVING, R
au18	FLORES, EJ
au19	FOUSHEE, HC
au20	FRANZOI, SL
au21	GADOL, E
au22	GOLLWITZER, PM
au23	HALL, JA
au24	HARVEY, JC
au25	HUANG, XZ
au26	HULL, JG
au27	KIRCHMAN, CM
au28	KRAUS, LA
au29	KRAUS, SJ
au30	KUTE, M
au31	LI, WJ
au32	LOTHERT, J
au33	LUCE, C
au34	MARKWIESE, B
au35	MEYER, M
au36	MEYER, N
au37	MITCHELL, KV
au38	MORRIS, MM
au39	MYERS, M
au40	OATHOUT, HA
au41	PONNET, K
au42	ROEYERS, H
au43	RUNGE, TE
au44	SCHOENFELD, MB
au45	SMITH, A
au46	SNAPP, T
au47	SODERLUND, T
au48	STEPHAN, C
au49	STEPHAN, WG
au50	SUN, BH
au51	VASQUEZSUSON, KA
au52	VERHOFSTADT, LL
au53	WARREN, GG
au54	WEIHING, J
au55	YOUNG, RD
